Source,Target,Weight,Type
documentation,documenting,1,Undirected
documentation,tool,1,Undirected
documentation,tutorial,2,Undirected
documentation,guide,2,Undirected
documentation,callbacks,1,Undirected
search,sound,1,Undirected
search,download,1,Undirected
search,effects,1,Undirected
search,sounds,1,Undirected
search,free,2,Undirected
search,webdesign,1,Undirected
search,icon,2,Undirected
search,design,2,Undirected
search,icons,2,Undirected
timezone,time,2,Undirected
timezone,converter,1,Undirected
timezone,world,1,Undirected
timezone,date,1,Undirected
time,converter,1,Undirected
time,world,1,Undirected
time,date,1,Undirected
time,machine,1,Undirected
time,business,1,Undirected
time,timeline,1,Undirected
time,functions,1,Undirected
time,php,1,Undirected
converter,world,1,Undirected
converter,date,1,Undirected
world,date,1,Undirected
date,library,1,Undirected
delicious,ruby,1,Undirected
delicious,gem,1,Undirected
delicious,api,1,Undirected
delicious,wrapper,1,Undirected
gem,api,2,Undirected
gem,wrapper,1,Undirected
gem,rvm,1,Undirected
gem,css,1,Undirected
gem,redundancy,1,Undirected
gem,throttle,1,Undirected
gem,limit,1,Undirected
gem,usage,1,Undirected
gem,request,1,Undirected
gem,per,1,Undirected
gem,second,1,Undirected
linux,uuid,1,Undirected
linux,fstab,1,Undirected
linux,ubuntu,9,Undirected
linux,mount,1,Undirected
linux,storage,1,Undirected
linux,filesystem,1,Undirected
linux,drive,3,Undirected
linux,disk,2,Undirected
linux,performance,4,Undirected
linux,speed,1,Undirected
linux,hard drive,2,Undirected
linux,devops,2,Undirected
linux,virtualbox,1,Undirected
linux,postgres,1,Undirected
linux,reinstall,1,Undirected
linux,purge,1,Undirected
linux,debian,1,Undirected
linux,unix,7,Undirected
linux,howto,2,Undirected
linux,reference,2,Undirected
linux,commands,2,Undirected
linux,process,1,Undirected
linux,cheatsheet,2,Undirected
linux,pptp,1,Undirected
linux,pptpd,1,Undirected
linux,ulimit,1,Undirected
linux,nginx,3,Undirected
linux,tuning,1,Undirected
linux,smart,1,Undirected
linux,preformance,1,Undirected
linux,dtrace,1,Undirected
linux,bash,3,Undirected
linux,traffic,1,Undirected
linux,networking,2,Undirected
linux,shaping,1,Undirected
linux,bandwidth,1,Undirected
linux,tc,1,Undirected
linux,network,1,Undirected
linux,qos,1,Undirected
linux,find,1,Undirected
linux,top,1,Undirected
linux,color,1,Undirected
linux,ls,1,Undirected
linux,mysql,1,Undirected
linux,access,1,Undirected
linux,mdb,1,Undirected
linux,conversion,1,Undirected
linux,database,1,Undirected
linux,mdbtools,1,Undirected
linux,export,1,Undirected
linux,backup,1,Undirected
linux,commandline,1,Undirected
linux,self,1,Undirected
linux,signed,1,Undirected
linux,configure,1,Undirected
linux,config,1,Undirected
linux,hardware,1,Undirected
linux,for:khekkly,1,Undirected
linux,cheatsheets,1,Undirected
linux,compiz,1,Undirected
linux,xgl,1,Undirected
linux,boot,1,Undirected
uuid,fstab,1,Undirected
uuid,ubuntu,1,Undirected
uuid,mount,1,Undirected
uuid,storage,1,Undirected
uuid,filesystem,1,Undirected
uuid,drive,1,Undirected
uuid,disk,1,Undirected
fstab,ubuntu,1,Undirected
fstab,mount,1,Undirected
fstab,storage,1,Undirected
fstab,filesystem,1,Undirected
fstab,drive,1,Undirected
fstab,disk,1,Undirected
ubuntu,mount,1,Undirected
ubuntu,storage,1,Undirected
ubuntu,filesystem,1,Undirected
ubuntu,drive,1,Undirected
ubuntu,disk,1,Undirected
ubuntu,devops,1,Undirected
ubuntu,virtualbox,1,Undirected
ubuntu,debian,2,Undirected
ubuntu,server,2,Undirected
ubuntu,usb,1,Undirected
ubuntu,stick,1,Undirected
ubuntu,install,1,Undirected
ubuntu,live,1,Undirected
ubuntu,cd,1,Undirected
ubuntu,pakage,1,Undirected
ubuntu,subversion,1,Undirected
ubuntu,svn,1,Undirected
ubuntu,mail,1,Undirected
ubuntu,slicehost,1,Undirected
ubuntu,certificate,2,Undirected
ubuntu,self,1,Undirected
ubuntu,signed,1,Undirected
ubuntu,security,1,Undirected
ubuntu,tutorial,1,Undirected
ubuntu,hardware,1,Undirected
ubuntu,for:khekkly,1,Undirected
ubuntu,customization,1,Undirected
ubuntu,compiz,2,Undirected
ubuntu,boot,1,Undirected
mount,storage,1,Undirected
mount,filesystem,1,Undirected
mount,drive,1,Undirected
mount,disk,1,Undirected
storage,filesystem,1,Undirected
storage,drive,1,Undirected
storage,disk,1,Undirected
filesystem,drive,1,Undirected
filesystem,disk,1,Undirected
drive,disk,2,Undirected
drive,performance,1,Undirected
drive,speed,1,Undirected
drive,hard drive,2,Undirected
drive,ssd,1,Undirected
drive,macbook,1,Undirected
drive,macbook pro,1,Undirected
drive,smart,1,Undirected
hdparm,linux,1,Undirected
hdparm,drive,1,Undirected
hdparm,performance,1,Undirected
hdparm,speed,1,Undirected
hdparm,hard drive,1,Undirected
hdparm,disk,1,Undirected
performance,speed,6,Undirected
performance,hard drive,1,Undirected
performance,disk,1,Undirected
performance,databases,1,Undirected
performance,scaling,1,Undirected
performance,scale,1,Undirected
performance,ruby,5,Undirected
performance,optimization,3,Undirected
performance,socket,1,Undirected
performance,server,1,Undirected
performance,unix,1,Undirected
performance,unicorn,2,Undirected
performance,webserver,1,Undirected
performance,apache,1,Undirected
performance,microcaching,1,Undirected
performance,sysadmin,1,Undirected
performance,caching,1,Undirected
performance,analyzer,1,Undirected
performance,memory,2,Undirected
performance,vm,1,Undirected
performance,kernel,1,Undirected
performance,tuning,1,Undirected
performance,big o notation,1,Undirected
performance,algorithm,1,Undirected
performance,development,1,Undirected
performance,mobile,1,Undirected
performance,api,1,Undirected
performance,rest,1,Undirected
performance,css,2,Undirected
performance,tweak,1,Undirected
performance,utils,1,Undirected
performance,profiling,1,Undirected
performance,profile,1,Undirected
performance,monitoring,1,Undirected
speed,hard drive,1,Undirected
speed,disk,1,Undirected
speed,optimization,3,Undirected
speed,test,2,Undirected
speed,socket,1,Undirected
speed,server,1,Undirected
speed,unix,1,Undirected
speed,unicorn,1,Undirected
speed,review,1,Undirected
speed,appstore,1,Undirected
speed,itunes connect,1,Undirected
speed,complexity,1,Undirected
speed,algorithms,1,Undirected
speed,big o notation,1,Undirected
speed,algorithm,1,Undirected
speed,html,1,Undirected
speed,load,2,Undirected
speed,testing,2,Undirected
speed,emulation,1,Undirected
hard drive,disk,1,Undirected
hard drive,hdd,1,Undirected
hard drive,monitoring,1,Undirected
hard drive,smart,1,Undirected
angularjs,javascript,2,Undirected
angularjs,controller,1,Undirected
angularjs,angular,2,Undirected
angularjs,angular.js,1,Undirected
angularjs,library,1,Undirected
angularjs,js,1,Undirected
javascript,controller,1,Undirected
javascript,angular,3,Undirected
javascript,angular.js,1,Undirected
javascript,library,4,Undirected
javascript,jquery,6,Undirected
javascript,js,14,Undirected
javascript,patterns,1,Undirected
javascript,bestpractices,1,Undirected
javascript,templates,1,Undirected
javascript,bundler,1,Undirected
javascript,bower,1,Undirected
javascript,packaging,1,Undirected
javascript,vendoring,1,Undirected
javascript,vendor,1,Undirected
javascript,tools,2,Undirected
javascript,webdev,2,Undirected
javascript,development,1,Undirected
javascript,database,1,Undirected
javascript,tutorials,1,Undirected
javascript,node,1,Undirected
javascript,node.js,1,Undirected
javascript,programming,1,Undirected
javascript,tutorial,1,Undirected
javascript,learning,1,Undirected
javascript,nodejs,1,Undirected
javascript,geo,1,Undirected
javascript,geojson,1,Undirected
javascript,geolocation,1,Undirected
javascript,json,1,Undirected
javascript,specification,1,Undirected
javascript,gis,1,Undirected
javascript,format,1,Undirected
javascript,GIS geoJSON CFL,1,Undirected
javascript,semicolon,1,Undirected
javascript,style,1,Undirected
javascript,guide,1,Undirected
javascript,screencast,1,Undirected
javascript,notifications,1,Undirected
javascript,messages,1,Undirected
javascript,notices,1,Undirected
javascript,flash,1,Undirected
javascript,lightbox,1,Undirected
javascript,message,1,Undirected
javascript,framework,2,Undirected
javascript,helper,1,Undirected
javascript,wizard,1,Undirected
javascript,lazy,1,Undirected
javascript,load,1,Undirected
javascript,secrets,1,Undirected
javascript,ui,2,Undirected
javascript,webdesign,2,Undirected
javascript,web,1,Undirected
javascript,date,1,Undirected
javascript,scroll,1,Undirected
javascript,smooth,1,Undirected
javascript,object,1,Undirected
javascript,prototype,1,Undirected
javascript,transparency,1,Undirected
controller,angular,1,Undirected
controller,angular.js,1,Undirected
controller,library,1,Undirected
angular,angular.js,1,Undirected
angular,library,1,Undirected
angular,screencast,1,Undirected
angular.js,library,1,Undirected
library,bower,1,Undirected
library,packaging,1,Undirected
library,vendoring,1,Undirected
library,vendor,1,Undirected
library,jquery,1,Undirected
library,database,1,Undirected
library,export,1,Undirected
library,iphoto,1,Undirected
postgresql,rails,2,Undirected
postgresql,ruby,1,Undirected
postgresql,postgres,3,Undirected
postgresql,hstore,3,Undirected
postgresql,arrays,1,Undirected
postgresql,linux,1,Undirected
postgresql,reinstall,1,Undirected
postgresql,purge,1,Undirected
postgresql,ubuntu,1,Undirected
postgresql,nosql,1,Undirected
postgresql,array,1,Undirected
postgresql,explain,1,Undirected
postgresql,performance,1,Undirected
postgresql,analyzer,1,Undirected
postgresql,scale,2,Undirected
postgresql,scaling,2,Undirected
postgresql,tips,1,Undirected
postgresql,tricks,1,Undirected
postgresql,instagram,1,Undirected
postgresql,database,1,Undirected
postgresql,shard,1,Undirected
postgresql,sharding,1,Undirected
rails,ruby,35,Undirected
rails,postgres,1,Undirected
rails,hstore,2,Undirected
rails,arrays,1,Undirected
rails,autoloading,1,Undirected
rails,activesupport,1,Undirected
rails,dependency,1,Undirected
rails,performance,4,Undirected
rails,speed,3,Undirected
rails,optimization,2,Undirected
rails,rubyonrails,12,Undirected
rails,concerns,1,Undirected
rails,concern,1,Undirected
rails,modules,1,Undirected
rails,images,1,Undirected
rails,assets,3,Undirected
rails,auto,1,Undirected
rails,css3,1,Undirected
rails,preprocessor,1,Undirected
rails,javascript,1,Undirected
rails,bundler,1,Undirected
rails,library,2,Undirected
rails,bower,1,Undirected
rails,packaging,1,Undirected
rails,vendoring,1,Undirected
rails,vendor,1,Undirected
rails,architecture,4,Undirected
rails,null object,1,Undirected
rails,null,1,Undirected
rails,file,1,Undirected
rails,directory,1,Undirected
rails,callback,1,Undirected
rails,activemodel,1,Undirected
rails,activerecord,2,Undirected
rails,ruby2,1,Undirected
rails,gmaps,1,Undirected
rails,maps,2,Undirected
rails,coffeescript,1,Undirected
rails,tracks,1,Undirected
rails,gpx,1,Undirected
rails,api,5,Undirected
rails,test,2,Undirected
rails,socket,1,Undirected
rails,server,1,Undirected
rails,unix,2,Undirected
rails,webdev,1,Undirected
rails,unicorn,4,Undirected
rails,event-driven,1,Undirected
rails,eventmachine,1,Undirected
rails,foreign_key,1,Undirected
rails,integrity,1,Undirected
rails,constraints,1,Undirected
rails,data,2,Undirected
rails,database_constraints,1,Undirected
rails,foreign_keys,1,Undirected
rails,database,2,Undirected
rails,DRY,1,Undirected
rails,foreign_key_constraints,1,Undirected
rails,opinion,1,Undirected
rails,not_DRY,1,Undirected
rails,secret token,1,Undirected
rails,security,1,Undirected
rails,insecure defaults,1,Undirected
rails,framework,2,Undirected
rails,tips,2,Undirected
rails,refactoring,1,Undirected
rails,linux,2,Undirected
rails,commands,1,Undirected
rails,process,1,Undirected
rails,cheatsheet,3,Undirected
rails,memory,1,Undirected
rails,localization,1,Undirected
rails,internationalization,1,Undirected
rails,l10n,1,Undirected
rails,i18n,1,Undirected
rails,route,1,Undirected
rails,routing,1,Undirected
rails,testing,2,Undirected
rails,spec,1,Undirected
rails,specs,1,Undirected
rails,proxy,1,Undirected
rails,deployment,1,Undirected
rails,load_balancing,1,Undirected
rails,reverse-proxy,1,Undirected
rails,nginx,2,Undirected
rails,soa,1,Undirected
rails,gem,1,Undirected
rails,throttle,1,Undirected
rails,limit,1,Undirected
rails,usage,1,Undirected
rails,request,1,Undirected
rails,per,1,Undirected
rails,second,1,Undirected
rails,cucumber,1,Undirected
rails,js,1,Undirected
rails,mixin,1,Undirected
rails,rails3,2,Undirected
rails,responders,1,Undirected
rails,ssl,3,Undirected
rails,schema,1,Undirected
rails,graphics,1,Undirected
rails,graph,1,Undirected
rails,scheme,1,Undirected
rails,demo,1,Undirected
rails,company,3,Undirected
rails,business,2,Undirected
rails,jobs,2,Undirected
rails,map,1,Undirected
rails,mashup,1,Undirected
rails,validation,2,Undirected
rails,guide,1,Undirected
rails,tutorial,1,Undirected
rails,error,1,Undirected
rails,guides,1,Undirected
rails,documentation,2,Undirected
rails,callbacks,1,Undirected
rails,blog,1,Undirected
rails,blogs,1,Undirected
rails,forgery,1,Undirected
rails,faker,1,Undirected
rails,textmate,1,Undirected
rails,keyboard,1,Undirected
rails,mootools,1,Undirected
rails,ubuntu,1,Undirected
rails,slicehost,1,Undirected
rails,certificate,1,Undirected
rails,http,1,Undirected
rails,https,1,Undirected
rails,association,1,Undirected
rails,find,1,Undirected
rails,eager,1,Undirected
rails,search,1,Undirected
rails,docs,1,Undirected
rails,reference,1,Undirected
rails,doc,1,Undirected
rails,form,1,Undirected
rails,multiple,3,Undirected
rails,model,2,Undirected
rails,multi,1,Undirected
rails,multimodel,1,Undirected
rails,users,2,Undirected
rails,passwords,1,Undirected
rails,default,1,Undirected
rails,value,1,Undirected
rails,plugin,1,Undirected
rails,calendar,1,Undirected
rails,select,1,Undirected
